iteration,candidate_cost,best_cost,p_layers
0,2.059270305532883,2.059270305532883,2
1,2.8018123646986535,2.8018123646986535,2
2,2.816127372257249,2.816127372257249,1
3,2.0073996937784035,2.816127372257249,1
4,2.356074726693851,2.816127372257249,1
5,2.3440664082116016,2.816127372257249,2
6,3.189325093559086,3.189325093559086,2
7,2.256301626297205,3.189325093559086,1
8,2.3038245097833876,3.189325093559086,2
9,3.0114959028245165,3.189325093559086,2
10,2.4419037134781334,3.189325093559086,1
11,1.5715411901778005,3.189325093559086,1
12,2.918266393285004,3.189325093559086,1
13,2.2198806309697905,3.189325093559086,2
14,2.6911103907029807,3.189325093559086,2
15,1.5935978487727223,3.189325093559086,2
16,2.6247676480570385,3.189325093559086,2
17,2.8558018598129546,3.189325093559086,2
18,3.2050415011954385,3.2050415011954385,2
19,2.7516712320304197,3.2050415011954385,1
20,2.1119236798899843,3.2050415011954385,2
21,3.038910712097442,3.2050415011954385,1
22,2.8339096057715683,3.2050415011954385,2
23,2.804637141957331,3.2050415011954385,2
24,3.0868730268380524,3.2050415011954385,2
25,2.3104532591133258,3.2050415011954385,1
26,1.3092987071067586,3.2050415011954385,2
27,1.9129180189545605,3.2050415011954385,1
28,1.300085882660042,3.2050415011954385,1
29,2.0334958261942195,3.2050415011954385,2
30,1.8971998154461958,3.2050415011954385,2
31,2.4900114978719863,3.2050415011954385,2
32,3.3950500584934717,3.3950500584934717,2
33,3.1022616837717134,3.3950500584934717,1
34,2.364008703311245,3.3950500584934717,2
35,2.733022234608566,3.3950500584934717,1
36,2.315033038234433,3.3950500584934717,1
37,1.8805045727083656,3.3950500584934717,2
38,2.3460894110625086,3.3950500584934717,2
39,1.9840428414439393,3.3950500584934717,2
40,2.898013005640157,3.3950500584934717,2
41,2.6767767588457394,3.3950500584934717,1
42,2.9598409489025572,3.3950500584934717,2
43,2.401094369604458,3.3950500584934717,1
44,2.5244828369069663,3.3950500584934717,2
45,2.5326182593361124,3.3950500584934717,2
46,2.502435470712873,3.3950500584934717,1
47,2.828946688074098,3.3950500584934717,1
48,1.4259735567892584,3.3950500584934717,2
49,2.3263388551408943,3.3950500584934717,2
50,3.0171612240296186,3.3950500584934717,1
51,1.4514291109390665,3.3950500584934717,1
52,2.193996180049149,3.3950500584934717,1
53,2.3021510075071188,3.3950500584934717,1
54,2.6062577497351196,3.3950500584934717,1
55,3.0417930512188533,3.3950500584934717,1
56,1.3998255630358187,3.3950500584934717,1
57,2.461218463249166,3.3950500584934717,2
58,2.5750922594206958,3.3950500584934717,1
59,1.6399611361195119,3.3950500584934717,1
60,1.5510306162854866,3.3950500584934717,1
61,2.757597374869272,3.3950500584934717,2
62,2.8801636968500324,3.3950500584934717,1
63,2.198949196734775,3.3950500584934717,1
64,2.863058339798118,3.3950500584934717,1
65,2.317563533328416,3.3950500584934717,2
66,2.4999776957997013,3.3950500584934717,1
67,2.864599953425384,3.3950500584934717,2
68,1.3047840569691709,3.3950500584934717,2
69,2.702200871309964,3.3950500584934717,1
70,2.9082858236467906,3.3950500584934717,1
71,2.782960678290827,3.3950500584934717,2
72,2.4369200897696204,3.3950500584934717,1
73,3.2552983451333355,3.3950500584934717,1
74,2.68315916048273,3.3950500584934717,2
75,2.7218896788794242,3.3950500584934717,1
76,1.7145485812167813,3.3950500584934717,2
77,2.036141915551631,3.3950500584934717,2
78,1.622526768700318,3.3950500584934717,1
79,2.160759095545081,3.3950500584934717,2
80,2.372725233028879,3.3950500584934717,2
